task,regime,accuracy,correct,incorrect,malformed,passes_threshold,elapsed_s
reverse,procedural,0.5600,28,22,0,False,65.6
uppercase,procedural,0.9600,48,2,0,True,63.5
pig_latin,procedural,0.0800,4,46,0,False,62.9
length,counting,1.0000,50,0,0,True,62.1
linear_2x,gd_like,1.0000,50,0,0,True,65.8
sentiment,bayesian,1.0000,50,0,0,True,69.2
antonym,retrieval,0.8200,41,9,0,False,64.7
pattern_completion,induction,1.0000,50,0,0,True,63.1
